# Goxel 0.10.4			--- Brain from https://free3d.com/3d-model/brain-18357.html ---
# One line per voxel
# X Y Z RRGGBB
-8 -15 6 ffffff
-5 -15 6 ffffff
-4 -15 6 ffffff
-3 -15 6 ffffff
-2 -15 6 fefefe
-1 -15 6 ffffff
-15 -14 6 ffffff
-14 -14 6 fefefe
-8 -14 6 ffffff
-5 -14 6 ffffff
-4 -14 6 ffffff
-3 -14 6 ffffff
-1 -14 6 fefefe
-14 -13 6 ffffff
-8 -13 6 ffffff
-5 -13 6 ffffff
-4 -13 6 ffffff
-3 -13 6 fefefe
-2 -13 6 fefefe
-1 -13 6 fefefe
-8 -12 6 ffffff
-5 -12 6 ffffff
-4 -12 6 ffffff
-3 -12 6 ffffff
-2 -12 6 ffffff
-1 -12 6 ffffff
-15 -11 6 ffffff
-8 -11 6 ffffff
-5 -11 6 ffffff
-4 -11 6 fefefe
-3 -11 6 ffffff
-2 -11 6 ffffff
-1 -11 6 ffffff
-15 -10 6 ffffff
-8 -10 6 ffffff
-3 -10 6 ffffff
-16 -9 6 ffffff
-15 -9 6 ffffff
-8 -9 6 ffffff
-7 -9 6 ffffff
-6 -9 6 ffffff
-5 -9 6 ffffff
-3 -9 6 ffffff
-16 -8 6 ffffff
-15 -8 6 ffffff
-11 -8 6 ffffff
-10 -8 6 fefefe
-9 -8 6 ffffff
-8 -8 6 ffffff
-7 -8 6 fefefe
-6 -8 6 ffffff
-5 -8 6 ffffff
-4 -8 6 ffffff
-3 -8 6 fefefe
-2 -8 6 ffffff
-1 -8 6 fefefe
-16 -7 6 ffffff
-15 -7 6 ffffff
-11 -7 6 ffffff
-10 -7 6 ffffff
-9 -7 6 ffffff
-7 -7 6 ffffff
-6 -7 6 ffffff
-5 -7 6 fefefe
-4 -7 6 ffffff
-16 -6 6 ffffff
-15 -6 6 ffffff
-12 -6 6 ffffff
-11 -6 6 ffffff
-10 -6 6 ffffff
-9 -6 6 ffffff
-8 -6 6 ffffff
-6 -6 6 ffffff
-5 -6 6 ffffff
-3 -6 6 ffffff
-2 -6 6 fefefe
-16 -5 6 fefefe
-15 -5 6 fefefe
-14 -5 6 fefefe
-12 -5 6 ffffff
-11 -5 6 ffffff
-10 -5 6 ffffff
-9 -5 6 ffffff
-3 -5 6 ffffff
-2 -5 6 ffffff
-1 -5 6 ffffff
-15 -4 6 ffffff
-14 -4 6 fefefe
-13 -4 6 fefefe
-10 -4 6 fefefe
-9 -4 6 ffffff
-8 -4 6 ffffff
-3 -4 6 ffffff
-2 -4 6 ffffff
-14 -3 6 ffffff
-13 -3 6 fefefe
-11 -3 6 ffffff
-10 -3 6 ffffff
-9 -3 6 ffffff
-8 -3 6 ffffff
-7 -3 6 fefefe
-6 -3 6 ffffff
-5 -3 6 ffffff
-4 -3 6 ffffff
-3 -3 6 ffffff
-2 -3 6 ffffff
-1 -3 6 ffffff
-16 -2 6 ffffff
-15 -2 6 ffffff
-11 -2 6 ffffff
-10 -2 6 ffffff
-9 -2 6 ffffff
-8 -2 6 fefefe
-7 -2 6 ffffff
-6 -2 6 ffffff
-5 -2 6 ffffff
-4 -2 6 ffffff
-2 -2 6 ffffff
-1 -2 6 ffffff
-16 -1 6 ffffff
-11 -1 6 fefefe
-10 -1 6 ffffff
-1 -1 6 ffffff
-8 -16 7 ffffff
-7 -16 7 ffffff
-6 -16 7 ffffff
-5 -16 7 ffffff
-4 -16 7 ffffff
-3 -16 7 ffffff
-2 -16 7 ffffff
-14 -15 7 fefefe
-13 -15 7 ffffff
-12 -15 7 ffffff
-11 -15 7 ffffff
-8 -15 7 ffffff
-7 -15 7 ffffff
-6 -15 7 ffffff
-5 -15 7 ffffff
-4 -15 7 ffffff
-3 -15 7 ffffff
-2 -15 7 fefefe
-1 -15 7 ffffff
-15 -14 7 ffffff
-14 -14 7 ffffff
-11 -14 7 ffffff
-10 -14 7 ffffff
-9 -14 7 ffffff
-8 -14 7 ffffff
-7 -14 7 ffffff
-6 -14 7 ffffff
-5 -14 7 ffffff
-4 -14 7 fefefe
-3 -14 7 fefefe
-2 -14 7 ffffff
-1 -14 7 ffffff
-15 -13 7 ffffff
-11 -13 7 ffffff
-10 -13 7 fefefe
-9 -13 7 ffffff
-8 -13 7 fefefe
-7 -13 7 ffffff
-6 -13 7 ffffff
-5 -13 7 ffffff
-4 -13 7 ffffff
-3 -13 7 ffffff
-2 -13 7 fefefe
-1 -13 7 ffffff
-15 -12 7 ffffff
-11 -12 7 fefefe
-10 -12 7 ffffff
-9 -12 7 fefefe
-8 -12 7 fefefe
-7 -12 7 ffffff
-6 -12 7 ffffff
-5 -12 7 ffffff
-4 -12 7 fefefe
-3 -12 7 ffffff
-2 -12 7 ffffff
-1 -12 7 ffffff
-15 -11 7 fefefe
-11 -11 7 ffffff
-10 -11 7 ffffff
-9 -11 7 ffffff
-8 -11 7 fefefe
-7 -11 7 ffffff
-6 -11 7 ffffff
-5 -11 7 ffffff
-4 -11 7 fefefe
-3 -11 7 ffffff
-2 -11 7 ffffff
-1 -11 7 fefefe
-15 -10 7 ffffff
-8 -10 7 ffffff
-7 -10 7 fefefe
-6 -10 7 ffffff
-5 -10 7 fefefe
-4 -10 7 ffffff
-3 -10 7 ffffff
-2 -10 7 ffffff
-1 -10 7 ffffff
-16 -9 7 ffffff
-15 -9 7 ffffff
-11 -9 7 ffffff
-10 -9 7 ffffff
-9 -9 7 fefefe
-8 -9 7 ffffff
-7 -9 7 fefefe
-6 -9 7 ffffff
-5 -9 7 fefefe
